,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,owid-covid-data_reproduction_rate,owid-covid-data_icu_patients,owid-covid-data_icu_patients_per_million,owid-covid-data_hosp_patients,owid-covid-data_hosp_patients_per_million,owid-covid-data_weekly_icu_admissions,owid-covid-data_weekly_icu_admissions_per_million,owid-covid-data_weekly_hosp_admissions,owid-covid-data_weekly_hosp_admissions_per_million,owid-covid-data_new_tests,owid-covid-data_total_tests,owid-covid-data_total_tests_per_thousand,owid-covid-data_new_tests_per_thousand,owid-covid-data_new_tests_smoothed,owid-covid-data_new_tests_smoothed_per_thousand,owid-covid-data_positive_rate,owid-covid-data_tests_per_case,owid-covid-data_tests_units,owid-covid-data_total_vaccinations,owid-covid-data_people_vaccinated,owid-covid-data_people_fully_vaccinated,owid-covid-data_new_vaccinations,owid-covid-data_new_vaccinations_smoothed,owid-covid-data_total_vaccinations_per_hundred,owid-covid-data_people_vaccinated_per_hundred,owid-covid-data_people_fully_vaccinated_per_hundred,owid-covid-data_new_vaccinations_smoothed_per_million,owid-covid-data_stringency_index,owid-covid-data_population,owid-covid-data_population_density,owid-covid-data_median_age,owid-covid-data_aged_65_older,owid-covid-data_aged_70_older,owid-covid-data_gdp_per_capita,owid-covid-data_extreme_poverty,owid-covid-data_cardiovasc_death_rate,owid-covid-data_diabetes_prevalence,owid-covid-data_female_smokers,owid-covid-data_male_smokers,owid-covid-data_handwashing_facilities,owid-covid-data_hospital_beds_per_thousand,owid-covid-data_life_expectancy,owid-covid-data_human_development_index,changes-visitors-covid_retail_and_recreation,changes-visitors-covid_grocery_and_pharmacy,changes-visitors-covid_residential,changes-visitors-covid_transit_stations,changes-visitors-covid_parks,changes-visitors-covid_workplaces,covid-19-testing-policy_testing_policy,covid-contact-tracing_contact_tracing,covid-stringency-index_stringency_index,covid-vaccination-policy_vaccination_policy,debt-relief-covid_debt_relief,face-covering-policies-covid_facial_coverings,income-support-covid_income_support,internal-movement-covid_restrictions_internal_movements,international-travel-covid_international_travel_controls,public-events-covid_cancel_public_events,public-gathering-rules-covid_restriction_gatherings,public-transport-covid_close_public_transport,school-closures-covid_school_closures,stay-at-home-covid_stay_home_requirements,workplace-closures-covid_workplace_closures
15615,China,2020-01-22,548.0,,,17.0,,,0.381,,,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.39,1439323774.0,147.674,38.7,10.640999999999998,5.928999999999999,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.7609999999999999,,,,,,,1.0,2.0,26.39,0.0,0.0,3.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0
15616,China,2020-01-23,643.0,95.0,,18.0,1.0,,0.447,0.066,,0.013000000000000001,0.001,,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,44.91,1439323774.0,147.674,38.7,10.640999999999998,5.928999999999999,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.7609999999999999,,,,,,,1.0,2.0,44.91,0.0,0.0,3.0,0.0,2.0,0.0,2.0,4.0,2.0,0.0,1.0,0.0
15617,China,2020-01-24,920.0,277.0,,26.0,8.0,,0.639,0.192,,0.018000000000000002,0.006,,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,44.91,1439323774.0,147.674,38.7,10.640999999999998,5.928999999999999,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.7609999999999999,,,,,,,1.0,2.0,44.91,0.0,0.0,3.0,0.0,2.0,0.0,2.0,4.0,2.0,0.0,1.0,0.0
15618,China,2020-01-25,1406.0,486.0,,42.0,16.0,,0.977,0.33799999999999997,,0.028999999999999998,0.011000000000000001,,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,47.69,1439323774.0,147.674,38.7,10.640999999999998,5.928999999999999,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.7609999999999999,,,,,,,1.0,2.0,47.69,0.0,0.0,3.0,0.0,2.0,0.0,2.0,4.0,2.0,0.0,1.0,0.0
15619,China,2020-01-26,2075.0,669.0,,56.0,14.0,,1.442,0.465,,0.039,0.01,,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,69.91,1439323774.0,147.674,38.7,10.640999999999998,5.928999999999999,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.7609999999999999,,,,,,,1.0,2.0,69.91,0.0,0.0,3.0,0.0,2.0,0.0,2.0,4.0,2.0,3.0,1.0,3.0
15620,China,2020-01-27,2877.0,802.0,,82.0,26.0,,1.999,0.557,,0.057,0.018000000000000002,,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,69.91,1439323774.0,147.674,38.7,10.640999999999998,5.928999999999999,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.7609999999999999,,,,,,,1.0,2.0,69.91,0.0,0.0,3.0,0.0,2.0,0.0,2.0,4.0,2.0,3.0,1.0,3.0
15621,China,2020-01-28,5509.0,2632.0,708.7139999999999,131.0,49.0,16.285999999999998,3.827,1.829,0.49200000000000005,0.091,0.034,0.011000000000000001,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,69.91,1439323774.0,147.674,38.7,10.640999999999998,5.928999999999999,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.7609999999999999,,,,,,,1.0,2.0,69.91,0.0,0.0,3.0,0.0,2.0,0.0,2.0,4.0,2.0,3.0,1.0,3.0
15622,China,2020-01-29,6087.0,578.0,791.2860000000001,133.0,2.0,16.570999999999998,4.229,0.402,0.55,0.092,0.001,0.012,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,69.91,1439323774.0,147.674,38.7,10.640999999999998,5.928999999999999,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.7609999999999999,,,,,,,1.0,2.0,69.91,0.0,0.0,3.0,0.0,2.0,0.0,2.0,4.0,2.0,3.0,1.0,3.0
15623,China,2020-01-30,8141.0,2054.0,1071.143,171.0,38.0,21.857,5.656000000000001,1.4269999999999998,0.7440000000000001,0.11900000000000001,0.026000000000000002,0.015,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,69.91,1439323774.0,147.674,38.7,10.640999999999998,5.928999999999999,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.7609999999999999,,,,,,,1.0,2.0,69.91,0.0,0.0,3.0,0.0,2.0,0.0,2.0,4.0,2.0,3.0,1.0,3.0
15624,China,2020-01-31,9802.0,1661.0,1268.857,213.0,42.0,26.714000000000002,6.81,1.1540000000000001,0.882,0.14800000000000002,0.028999999999999998,0.019,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,69.91,1439323774.0,147.674,38.7,10.640999999999998,5.928999999999999,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.7609999999999999,,,,,,,1.0,2.0,69.91,0.0,0.0,3.0,0.0,2.0,0.0,2.0,4.0,2.0,3.0,1.0,3.0
